№,Point_type,Category_mon,Category_eng,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Phone,Facebook,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
1,5,Амралтын газар,Resort,Хан Хустай Амралт,Khan Khustai Resort,Төв ,Tuv,Аргалант,Argalant,,,88116313.0,https://www.facebook.com/profile.php?id=100088353677379,https://www.dropbox.com/scl/fi/1d8lxjiyq3a79awapv9am/.jpg?rlkey=gq3db0oogcyc9tw62pqpgd6r5&raw=1,칸 쿠스타이 리조트,カーン・クスタイ・リゾート,汗库斯泰度假村,Курорт Хан Хустай
2,4,Жуулчны бааз,Tourist_Camp,Мөнгөн уул кэмп,Silver Mountains Camp,Өмнөговь,Omnogovi,Ноён ,Noyon,,,95059027.0,https://www.facebook.com/profile.php?id=61592563413884,https://www.dropbox.com/scl/fi/mfvtboyyp3ygmrknz0a7h/.jpg?rlkey=ve8ecbb3ogvuwt3hvn1adrfks&raw=1,실버 마운틴 캠프,シルバーマウンテンズキャンプ,银山营地,Лагерь Серебряных Гор
3,4,Жуулчны бааз,Tourist_Camp,Сөгнөгөр гэр кэмт,Sugnugur Ger Camp,Төв ,Tuv,Батсүмбэр,Batsumber,,,86241689.0,https://www.facebook.com/profile.php?id=61554409587195,https://www.dropbox.com/scl/fi/o9vmp55qqflbhq1xhot8s/.jpg?rlkey=noukhp1r7w6u76q6d4r3nmvhz&raw=1,고비 선 롯지,ゴビ・サン・ロッジ,戈壁太阳旅馆,Туристический лагерь «Гоби Сан»
4,4,Жуулчны бааз,Tourist_Camp,Говийн наран жуулчны бааз,Gobi Sun Lodge,Өмнөговь,Omnogovi,,,,,,,,,,,
5,5,Амралтын газар,Resort,Хустайн нуруу Сүмбэр амралт,Khustain Nuruu Sumber Resort,Төв ,Tuv,Алтанбулаг,Altanbulag,,,96767005.0,https://www.facebook.com/profile.php?id=61576888607598&sk=about,https://www.dropbox.com/scl/fi/ygo1limy78n9yl31t9yhi/.jpg?rlkey=n6ynfo8apbszd1et4k9k6k0ab&raw=1,쿠스테인 마운틴 섬버 리조트,クステイン マウンテン サンバー リゾート,库斯坦山桑布尔度假村,Хребет Хустейн Сумбур Резорт
6,5,Амралтын газар,Resort,Хотула амралтын газар,Khotula resort,Улаанбаатар,Ulaanbaatar,Налайх,Nalaikh,,,99172739.0,,https://www.dropbox.com/scl/fi/7wqipvwnk1qeru7nqdmoz/.jpg?rlkey=4e6gfsmcg2qniyo290jdmldma&raw=1,호툴라 리조트,ホトゥラリゾート,霍图拉度假村,Курорт Хотула
7,5,Амралтын газар,Resort,Тэрэлж Биндэр амралт,Terelj Binder Resort,Улаанбаатар,Ulaanbaatar,Налайх,Nalaikh,,,88012665.0,https://www.facebook.com/profile.php?id=61553899898717,https://www.dropbox.com/scl/fi/edwh61rc5yke8pq1g06q7/.jpg?rlkey=vcg56pbtlpfumbhpm1ejpb1kz&raw=1,테렐지 빈더 리조트,テレルジ・ビンダー・リゾート,特雷尔吉宾德度假村,Курорт Терельдж Биндер
8,4,Жуулчны бааз,Tourist_Camp,Хан хаус кэмп,Khan House Camp,Төв ,Tuv,Мандал,Mandal,,,80541740.0,https://www.facebook.com/profile.php?id=100090897685224,https://www.dropbox.com/scl/fi/6zbkkwtknihucggqyw9wp/.jpg?rlkey=q76w0sdqeykh8ud3yaz3jjalw&raw=1,칸 하우스 캠프,カーンハウスキャンプ,汗屋营地,Лагерь Хан Хаус
9,5,Амралтын газар,Resort,Дурсамж хотхон амралт,Dursamj Khotkhon Resort,Улаанбаатар,Ulaanbaatar,Сонгинохайрхан,Songinokhairkhan,,,94067774.0,https://www.facebook.com/profile.php?id=61577997114269,https://www.dropbox.com/scl/fi/5b77iwtq06j0zkhsfbhzx/.jpg?rlkey=uybipartznzi30e9jrzdeutv4&raw=1,두르삼지 코트콘 리조트,ドゥルサムジ・コトコン・リゾート,杜尔萨姆·科特孔度假村,Курорт Дурсамдж Кхотхон
10,5,Амралтын газар,Resort,Амар амралт,Amar Resort,,,,,,,89184645.0,https://www.facebook.com/profile.php?id=61591325796792,https://www.dropbox.com/scl/fi/mmesld4lqn06nm3uh67is/.jpg?rlkey=xz4jej8x64rlj944ljabtd9u5&raw=1,아마르 리조트,アマールリゾート,阿玛尔度假村,Курорт Амар
