№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
1,2,Түүхийн дурсгалт газар,Сайжрах уулын үлэг гүрвэлийн мөр,Saijrah Mountain Dinosaur Footprints,Төв,Tuv,Эрдэнэсант,Erdenesant,,,,,https://www.dropbox.com/scl/fi/4yjlkmpzzo2uysixs75hq/.jpg?rlkey=8dwl58us4c7zsipav9p3fi2l4&raw=1,사이즈라 산 공룡 발자국,サイジュラ山の恐竜の足跡,赛杰拉山恐龙足迹,Следы динозавров на горе Сайджрах,,,,
2,2,Түүхийн дурсгалт газар,Бух хайрханы дурсгал,Monument to Bukh Khayrkhan,Архангай ,Arkhangai,Цэцэрлэг,Tsetserleg,,,,,https://www.dropbox.com/scl/fi/l5akcfc0bb8ku9vkrqt2h/.jpg?rlkey=v2kaoimmudnivb970y939bfqg&raw=1,부크 하이르칸 기념비,ブフ・ハイルハン記念碑,布赫·哈伊尔汗纪念碑,Памятник Буху Хайрхану,,,,
3,2,Түүхийн дурсгалт газар,Заагийн овоо,Zaagiin Ovoo,Дорнод,Dornod,Дашбалбар,Dashbalbar,,,,,https://www.dropbox.com/scl/fi/4e5igeh3akfr8nbh93vop/.jpg?rlkey=yt7buvi9wy3vdgocuz0446d6g&raw=1,자아긴 오보,ザギーン・オヴォー,札吉因 ovoo,Заагин Овоо,,,,
4,2,Түүхийн дурсгалт газар,Чөчү хайрханы 13 овоо,13 Ovoos of Chochu Khayrkhan,Хөвсгөл,Khuvsgul,,,,,Хөвсгөл нуурын тахилга хийдэг газар.,The place where Lake Khuvsgul is worshipped.,https://www.dropbox.com/scl/fi/vttxs3037bfb8jyh83mx5/13.jpeg?rlkey=7y6p2mrwhtjgywtyz5lecdeu9&raw=1,초추 카이르칸의 13개 언덕,チョチュ・ハイルハンの13の丘,乔楚·哈伊尔汗的13座山丘,13 овоо Чочу Хайрхана,후브스굴 호수를 숭배하는 곳.,库苏古尔湖的祭祀场所。,"Место, где поклоняются озеру Хувсгул.",
5,1,Байгалийн үзэсгэлэнт газар,Сүйхэнт уулын чулуужсан мод,Petrified tree of Suikhent Mountain,Дорноговь,Dornogovi,Мандах,Mandakh,,,,,https://www.dropbox.com/scl/fi/qzueivbgav7hnd185f1cb/.jpg?rlkey=y5ji7zi6nwtkc3n2fcdmtdj3p&raw=1,수이켄트 산의 화석화된 나무,スイヘント山の化石化した木,苏伊肯特山的石化树,Окаменевшее дерево горы Суйхент,,,,
6,1,Байгалийн үзэсгэлэнт газар,Ноён хатан хангай халуун рашаан,Noyon Khatan Khangai Hot Springs,Архангай ,Arkhangai,Хангай ,Khangai,,,,,https://www.dropbox.com/scl/fi/wjvwvtdmp8k9utpnlhpud/.jpg?rlkey=6yu79z8ottu4rfcd82gg22j90&raw=1,노욘 카탄 칸가이 온천,ノヨン カタン ハンガイ温泉,诺永卡坦康爱温泉,Горячие источники Нойон Хатан Хангай,,,,
7,1,Байгалийн үзэсгэлэнт газар,Равдангийн булаг рашаан ус,Ravdang Spring Mineral Water,Архангай ,Arkhangai,Тариат,Tariat,,,Харшилын гаралтай өвчнийг анагаадаг рашаан ус.,Mineral water that cures allergic diseases,https://www.dropbox.com/scl/fi/naj4kj9l8de84z94egoip/.jpg?rlkey=2lbof2tau342smoe7bdhxlx4x&raw=1,라브당 온천 미네랄워터,ラヴダン温泉ミネラルウォーター,拉夫当泉矿泉水,Минеральная вода из источника Равданг,알레르기 질환을 치료하는 미네랄워터.,アレルギー疾患を治すミネラルウォーター。,能治疗过敏性疾病的矿泉水。,"Минеральная вода, лечащая аллергические заболевания."
8,2,Түүхийн дурсгалт газар,Баруун хацрын хүн чулуун хөшөө,Baruun Khatsryn Khun Chuluu Statue,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,,,,,,오른쪽 뺨을 가진 남자의 석상,右頬の男性の石像,右臉頰男子的石像,Памятник Барууну Хацрыну Хун Чулуу,,,,
9,1,Байгалийн үзэсгэлэнт газар,Дашмаг хад,Dashmag Rock,Баян--Өлгий,Bayan-Ulgii,Булган,Bulgan,,,Булган сумын Улаан даваа гэдэг газарт  байдаг байгалийн өвөрмөц тогтоц юм.,"It is a unique natural formation located in the area of ​​Ulaan Davaa, Bulgan soum.",https://www.dropbox.com/scl/fi/p6sofwdv9zzldb1fdzaog/.jpg?rlkey=vbp7uvdk3h5noat2gop5nkzte&raw=1,다슈마그 록,ダッシュマグは最高だ,Dashmag 搖滾,Дашмаг хад,"울란다바(Ulaan Davaa), 불간솜(Bulgan soum) 지역에 위치한 독특한 자연 지형입니다.",ボルガン・ソムのウラン・ダヴァー地区にあるユニークな自然の形成物です。,它是位于布尔干苏姆乌兰达瓦地区的独特自然构造。,
10,2,Түүхийн дурсгалт газар,Ингэт толгойн хүн чулуун хөшөө,,Булган,Bulgan,Сэлэнгэ,Selenge,,,Жужан улсын (330-555 он) үед бүтээгдсэн буддагийн хөшөө. ,A Buddha statue created during the Zhou Dynasty (330-555 AD).,https://www.dropbox.com/scl/fi/bn2tgnpmyuuvj5xlh74ii/.jpg?rlkey=smqs0pbwofzlhjjualyzto94p&raw=1,잉게트 톨고이 남자의 석상,インゲット・トルゴイ族の男性の石像,英格特·托爾戈伊人的石像,Каменная статуя человека в Ингет Толгой,주나라 시대(서기 330~555년)에 제작된 불상.,周王朝時代（西暦330年～555年）に制作された仏像。,周朝（公元330-555年）时期制作的佛像。,
